,zipcode,N1,agi_stub
521,35188,0.0,6
522,35203,570.0,1
523,35203,330.0,2
524,35203,200.0,3
525,35203,100.0,4
526,35203,190.0,5
527,35203,130.0,6
528,35204,2020.0,1
529,35204,1030.0,2
530,35204,270.0,3
531,35204,100.0,4
532,35204,50.0,5
533,35204,0.0,6
534,35205,2820.0,1
535,35205,2530.0,2
536,35205,1130.0,3
537,35205,460.0,4
538,35205,550.0,5
539,35205,340.0,6
540,35206,3400.0,1
541,35206,2160.0,2
542,35206,710.0,3
543,35206,280.0,4
544,35206,260.0,5
545,35206,0.0,6
546,35207,1890.0,1
547,35207,970.0,2
548,35207,280.0,3
549,35207,80.0,4
550,35207,60.0,5
551,35207,0.0,6
552,35208,3130.0,1
553,35208,1960.0,2
554,35208,540.0,3
555,35208,150.0,4
556,35208,100.0,5
557,35208,0.0,6
558,35209,3480.0,1
559,35209,2560.0,2
560,35209,1400.0,3
561,35209,770.0,4
562,35209,1960.0,5
563,35209,1540.0,6
564,35210,2090.0,1
565,35210,1830.0,2
566,35210,1210.0,3
567,35210,630.0,4
568,35210,870.0,5
569,35210,250.0,6
570,35211,5320.0,1
571,35211,3190.0,2
572,35211,1120.0,3
573,35211,440.0,4
574,35211,330.0,5
575,35211,70.0,6
576,35212,2240.0,1
577,35212,1220.0,2
578,35212,460.0,3
579,35212,200.0,4
580,35212,330.0,5
581,35212,80.0,6
582,35213,1360.0,1
583,35213,1010.0,2
584,35213,880.0,3
585,35213,570.0,4
586,35213,1230.0,5
587,35213,2020.0,6
588,35214,3630.0,1
589,35214,2920.0,2
590,35214,1210.0,3
591,35214,490.0,4
592,35214,430.0,5
593,35214,30.0,6
594,35215,9760.0,1
595,35215,6870.0,2
596,35215,2440.0,3
597,35215,940.0,4
598,35215,770.0,5
599,35215,50.0,6
600,35216,4890.0,1
601,35216,3880.0,2
602,35216,2220.0,3
603,35216,1200.0,4
604,35216,2500.0,5
605,35216,1700.0,6
606,35217,2660.0,1
607,35217,1580.0,2
608,35217,530.0,3
609,35217,230.0,4
610,35217,170.0,5
611,35217,0.0,6
612,35218,1470.0,1
613,35218,870.0,2
